date,sleep_duration_h,deep_sleep_h,light_sleep_h,rem_sleep_h,awake_h,avg_spo2,hrv_weekly_avg,hrv_last_night,hrv_status,resting_hr,steps,calories_total,calories_active,distance_km,body_battery_max,body_battery_min,stress_avg,intensity_minutes
2026-04-27,5.36,0.63,3.57,1.17,1.1,,30,,BALANCED,62,5575,2044.0,218.0,4.28,,,36,0
2026-04-28,3.97,0.48,3.02,0.47,0.3,,29,,BALANCED,61,11615,2497.0,671.0,8.92,,,33,31
2026-04-29,6.64,1.18,5.13,0.33,0.6,,29,,BALANCED,59,12994,2355.0,529.0,10.14,,,31,21
2026-04-30,2.43,0.62,1.72,0.1,0.2,,28,,BALANCED,64,9970,2236.0,410.0,7.6,,,39,23
2026-05-01,4.85,0.82,3.68,0.35,0.67,,27,,BALANCED,62,11302,2480.0,654.0,8.72,,,47,29
2026-05-02,0.0,0.0,0.0,0.0,0.0,,26,,BALANCED,62,10688,2216.0,390.0,8.16,,,34,23
2026-05-03,6.88,1.17,3.93,1.78,0.5,,26,,BALANCED,57,5109,1951.0,125.0,3.91,,,27,0
2026-05-04,7.03,1.33,4.27,1.43,1.18,,26,,UNBALANCED,59,9355,2142.0,316.0,7.11,,,27,3
2026-05-05,5.17,0.7,3.57,0.9,0.77,,26,,BALANCED,57,10521,2104.0,278.0,8.04,,,25,0
2026-05-06,3.22,0.5,1.98,0.73,0.0,,26,,BALANCED,55,11836,2216.0,390.0,9.0,,,26,23
2026-05-07,2.42,0.92,1.22,0.28,0.25,,27,,BALANCED,56,11677,2165.0,339.0,8.56,,,28,23
2026-05-08,6.78,1.05,4.88,0.85,0.7,,28,,BALANCED,58,15798,2537.0,711.0,12.55,,,43,60
2026-05-09,5.25,0.23,4.4,0.62,0.78,,29,,BALANCED,60,9433,2165.0,339.0,6.9,,,26,27
2026-05-10,3.83,0.7,2.35,0.78,0.25,,28,,BALANCED,60,12392,2345.0,519.0,9.47,,,30,0
2026-05-11,6.15,1.05,4.7,0.4,1.35,,29,,BALANCED,58,9757,2112.0,286.0,7.44,,,26,0
2026-05-12,4.85,0.37,3.17,1.32,0.17,,29,,BALANCED,59,11894,2616.0,790.0,9.04,,,31,29
2026-05-13,4.78,0.48,3.45,0.85,0.32,,28,,BALANCED,57,15228,2610.0,784.0,11.57,,,33,56
2026-05-14,3.65,0.5,2.57,0.58,0.63,,28,,BALANCED,62,10250,2121.0,295.0,7.68,,,27,24
2026-05-15,5.4,0.55,3.38,1.47,0.47,,28,,BALANCED,56,14372,2355.0,529.0,10.95,,,30,22
2026-05-16,3.55,1.02,2.53,0.0,0.28,,,,,59,12250,2194.0,368.0,9.09,,,27,26
2026-05-17,4.93,1.58,3.07,0.28,0.38,,28,,BALANCED,58,11766,2243.0,417.0,8.89,,,28,0
2026-05-18,5.97,0.97,4.65,0.35,2.0,,28,,BALANCED,55,8038,2047.0,221.0,6.07,,,25,0
2026-05-19,5.4,1.62,2.63,1.15,0.5,,27,,BALANCED,54,8926,2095.0,269.0,6.8,,,28,0
2026-05-20,5.93,2.1,2.75,1.08,0.38,,28,,BALANCED,57,12743,2296.0,470.0,9.7,,,28,2
2026-05-21,4.86,1.2,3.13,0.53,0.37,,29,,BALANCED,54,11796,2477.0,651.0,8.97,,,31,35
2026-05-22,6.72,0.92,4.85,0.95,0.45,,29,,BALANCED,57,8643,2282.0,456.0,6.61,,,26,33
2026-05-23,6.53,0.72,4.55,1.27,0.5,,30,,BALANCED,56,17260,2331.0,505.0,13.77,,,27,21
2026-05-24,4.4,1.25,3.0,0.15,2.18,,30,,BALANCED,54,15080,2293.0,467.0,11.33,,,24,27
2026-05-25,4.7,0.63,2.5,1.57,0.0,,30,,BALANCED,51,13758,2636.0,810.0,10.49,,,26,55
2026-05-26,4.93,1.02,2.87,1.05,1.0,,31,,BALANCED,58,11254,2623.0,797.0,8.64,,,28,55
2026-05-27,4.42,0.87,3.02,0.53,0.73,,30,,BALANCED,55,11196,2189.0,363.0,8.5,,,24,27
2026-05-28,3.28,1.08,1.92,0.28,0.33,,31,,BALANCED,57,11574,2186.0,360.0,8.42,,,29,33
2026-05-29,4.78,0.45,3.43,0.9,0.75,,30,,BALANCED,58,14926,2791.0,965.0,11.42,,,35,53
2026-05-30,6.27,1.32,3.65,1.3,0.25,,30,,BALANCED,57,17071,2770.0,944.0,12.83,,,28,76
2026-05-31,3.35,0.78,2.37,0.2,0.05,,29,,BALANCED,58,9735,2180.0,354.0,7.31,,,22,29
test
