date,activity_id,activity_type,start_time,duration_min,distance_km,calories,avg_hr,max_hr,avg_pace,elevation_gain_m
2026-05-24,23015881199,walking,2026-05-24 10:45:57,24.9,2.04,138.0,101.0,122.0,1.3669999837875364,0.0
2026-05-25,23015882240,strength_training,2026-05-25 15:00:13,0.8,0.0,8.0,140.0,146.0,0.0,
2026-05-25,23015881981,strength_training,2026-05-25 14:46:48,10.2,0.0,105.0,139.0,160.0,0.0,
2026-05-25,23015881744,strength_training,2026-05-25 14:34:09,10.3,0.0,99.0,133.0,156.0,0.0,
2026-05-25,23015881499,indoor_cardio,2026-05-25 14:20:57,10.9,0.0,121.0,151.0,167.0,0.0,
2026-05-26,23015883376,strength_training,2026-05-26 14:37:17,1.9,0.0,19.0,134.0,142.0,0.0,
2026-05-26,23015883105,strength_training,2026-05-26 14:25:37,11.2,0.0,121.0,146.0,172.0,0.0,
2026-05-26,23015882854,strength_training,2026-05-26 14:12:06,11.1,0.0,111.0,137.0,153.0,0.0,
2026-05-26,23015882571,indoor_cardio,2026-05-26 13:54:20,14.4,0.0,164.0,155.0,167.0,0.0,
2026-05-27,23028363637,walking,2026-05-27 15:47:52,20.9,1.98,127.0,110.0,144.0,1.578999996185303,41.19999885559082
2026-05-28,23039034569,walking,2026-05-28 11:28:44,42.4,2.11,150.0,100.0,119.0,0.8289999961853028,6.079947471618652
2026-05-29,23050748701,strength_training,2026-05-29 10:33:54,1.7,0.0,17.0,134.0,145.0,0.0,
2026-05-29,23050726144,strength_training,2026-05-29 10:22:17,9.7,0.0,105.0,145.0,160.0,0.0,
2026-05-29,23050673035,strength_training,2026-05-29 10:10:21,9.8,0.0,98.0,136.0,159.0,0.0,
2026-05-29,23050608115,indoor_cardio,2026-05-29 09:56:49,10.3,0.0,118.0,155.0,169.0,0.0,
2026-05-30,23063500428,walking,2026-05-30 15:55:18,23.3,2.01,125.0,104.0,123.0,1.4349999427795408,36.69361686706543
2026-05-30,23061754819,strength_training,2026-05-30 10:07:32,2.5,0.0,22.0,126.0,145.0,0.0,
2026-05-30,23061754546,strength_training,2026-05-30 09:56:32,9.8,0.0,92.0,132.0,150.0,0.0,
2026-05-30,23061667408,strength_training,2026-05-30 09:43:35,11.8,0.0,101.0,125.0,143.0,0.0,
2026-05-30,23061598159,indoor_cardio,2026-05-30 09:20:03,23.1,0.0,230.0,139.0,152.0,0.0,
2026-05-31,23073836052,walking,2026-05-31 10:29:10,30.4,2.26,147.0,101.0,114.0,1.2380000352859497,1.360121726989746
